chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classes_BC
org/jfree/data/xy/,XYIntervalDataItem.java,56,78,1.3928572,14,0.0994898
org/jfree/data/category/,DefaultCategoryDataset.java,11,428,38.909092,19,2.047847
org/jfree/data/general/,KeyedValueDataset.java,4,43,10.75,4,2.6875
org/jfree/data/xy/,XIntervalDataItem.java,34,70,2.0588236,10,0.20588236
org/jfree/data/xy/,XYDataItem.java,5,233,46.6,14,3.3285713
org/jfree/data/statistics/,SimpleHistogramDataset.java,17,467,27.470589,31,0.88614804
org/jfree/data/general/,Dataset.java,5,52,10.4,7,1.4857142
org/jfree/data/resources/,DataPackageResources_de.java,7,58,8.285714,4,2.0714285
org/jfree/data/statistics/,DefaultStatisticalCategoryDataset.java,13,729,56.076923,46,1.2190635
org/jfree/data/general/,SeriesDataset.java,11,67,6.090909,5,1.2181818
org/jfree/data/xml/,DatasetReader.java,16,152,9.5,10,0.95
org/jfree/data/time/,SimpleTimePeriod.java,4,209,52.25,20,2.6125
org/jfree/data/xml/,KeyHandler.java,5,150,30.0,9,3.3333333
org/jfree/data/general/,PieDataset.java,5,44,8.8,4,2.2
org/jfree/data/general/,DefaultKeyedValuesDataset.java,3,45,15.0,4,3.75
org/jfree/data/gantt/,SlidingGanttCategoryDataset.java,9,644,71.55556,50,1.4311111
org/jfree/data/general/,AbstractSeriesDataset.java,5,101,20.2,6,3.3666668
org/jfree/data/xml/,ValueHandler.java,5,155,31.0,10,3.1
org/jfree/data/time/,DateRange.java,6,153,25.5,5,5.1
org/jfree/data/flow/,FlowKey.java,7,161,23.0,19,1.2105263
org/jfree/data/time/,Day.java,12,459,38.25,25,1.53
org/jfree/data/xy/,YInterval.java,3,117,39.0,9,4.3333335
org/jfree/data/xy/,DefaultHighLowDataset.java,7,419,59.857143,20,2.9928572
org/jfree/data/statistics/,HistogramBin.java,3,166,55.333332,8,6.9166665
org/jfree/data/xy/,VectorSeriesCollection.java,12,313,26.083334,18,1.4490741
org/jfree/data/xy/,YIntervalSeriesCollection.java,12,330,27.5,13,2.1153846
org/jfree/data/category/,CategoryToPieDataset.java,11,308,28.0,37,0.7567568
org/jfree/data/function/,PowerFunction2D.java,4,125,31.25,9,3.4722223
org/jfree/data/general/,DefaultPieDataset.java,13,335,25.76923,33,0.78088576
org/jfree/data/xml/,CategoryDatasetHandler.java,7,124,17.714285,9,1.9682539
org/jfree/data/xy/,WindDataset.java,5,62,12.4,4,3.1
org/jfree/data/statistics/,DefaultBoxAndWhiskerCategoryDataset.java,12,918,76.5,42,1.8214285
org/jfree/data/time/,Year.java,9,390,43.333332,26,1.6666666
org/jfree/data/time/,TimeSeries.java,21,1220,58.095238,149,0.38990092
org/jfree/data/xy/,VectorSeries.java,44,118,2.6818182,13,0.20629372
org/jfree/data/general/,DefaultKeyedValues2DDataset.java,6,53,8.833333,4,2.2083333
org/jfree/data/statistics/,BoxAndWhiskerCalculator.java,110,89,0.8090909,27,0.02996633
org/jfree/data/resources/,DataPackageResources_ru.java,7,55,7.857143,4,1.9642857
org/jfree/data/xy/,MatrixSeries.java,5,217,43.4,18,2.411111
org/jfree/data/xy/,XYCoordinate.java,3,162,54.0,14,3.857143
org/jfree/data/gantt/,TaskSeries.java,9,187,20.777779,14,1.484127
org/jfree/data/xy/,IntervalXYZDataset.java,10,87,8.7,16,0.54375
org/jfree/data/resources/,DataPackageResources.java,7,58,8.285714,4,2.0714285
org/jfree/data/xy/,DefaultIntervalXYDataset.java,197,330,1.6751269,76,0.022041144
org/jfree/data/time/,RegularTimePeriod.java,110,251,2.2818182,35,0.06519481
org/jfree/data/function/,Function2D.java,4,50,12.5,4,3.125
org/jfree/data/gantt/,GanttCategoryDataset.java,15,145,9.666667,4,2.4166667
org/jfree/data/xy/,Vector.java,3,141,47.0,8,5.875
org/jfree/data/gantt/,TaskSeriesCollection.java,15,665,44.333332,26,1.7051282
org/jfree/data/xml/,RootHandler.java,5,116,23.2,8,2.9
org/jfree/data/json/,package-info.java,1,3,3.0,1,3.0
org/jfree/data/general/,DatasetChangeListener.java,5,52,10.4,6,1.7333332
org/jfree/data/time/,TimeSeriesDataItem.java,6,196,32.666668,8,4.0833335
org/jfree/data/xy/,IntervalXYDataset.java,11,126,11.454545,20,0.57272726
org/jfree/data/time/,TimePeriodValues.java,10,456,45.6,34,1.3411764
org/jfree/data/time/,TimeTableXYDataset.java,21,576,27.428572,44,0.6233766
org/jfree/data/statistics/,HistogramType.java,2,53,26.5,4,6.625
org/jfree/data/xy/,DefaultWindDataset.java,10,412,41.2,37,1.1135136
org/jfree/data/xy/,DefaultOHLCDataset.java,6,336,56.0,15,3.7333333
org/jfree/data/xy/,DefaultXYZDataset.java,158,246,1.556962,52,0.029941577
org/jfree/data/xy/,IntervalXYDelegate.java,13,451,34.692307,30,1.1564102
org/jfree/data/gantt/,Task.java,10,240,24.0,11,2.1818182
org/jfree/data/json/,JSONUtils.java,102,85,0.8333333,17,0.049019605
org/jfree/data/general/,SeriesChangeListener.java,5,49,9.8,5,1.96
org/jfree/data/statistics/,BoxAndWhiskerXYDataset.java,17,148,8.705882,18,0.4836601
org/jfree/data/flow/,FlowDatasetUtils.java,93,105,1.1290323,23,0.04908836
org/jfree/data/general/,HeatMapDataset.java,13,128,9.846154,7,1.4065934
org/jfree/data/function/,LineFunction2D.java,4,124,31.0,9,3.4444444
org/jfree/data/xy/,TableXYDataset.java,4,53,13.25,4,3.3125
org/jfree/data/function/,NormalDistributionFunction2D.java,4,135,33.75,8,4.21875
org/jfree/data/general/,WaferMapDataset.java,6,295,49.166668,15,3.277778
org/jfree/data/xy/,DefaultXYDataset.java,148,213,1.4391892,46,0.03128672
org/jfree/data/time/,Second.java,8,448,56.0,36,1.5555556
org/jfree/data/time/ohlc/,OHLC.java,4,151,37.75,10,3.775
org/jfree/data/time/ohlc/,OHLCItem.java,51,78,1.5294118,12,0.12745099
org/jfree/data/time/ohlc/,OHLCSeries.java,38,89,2.3421052,9,0.2602339
org/jfree/data/time/ohlc/,OHLCSeriesCollection.java,15,473,31.533333,25,1.2613333
org/jfree/data/json/impl/,JSONArray.java,72,72,1.0,18,0.055555556
org/jfree/data/json/impl/,package-info.java,1,3,3.0,1,3.0
org/jfree/data/json/impl/,JSONAware.java,4,37,9.25,2,4.625
org/jfree/data/json/impl/,JSONStreamAware.java,6,40,6.6666665,3,2.222222
org/jfree/data/json/impl/,JSONObject.java,85,90,1.0588236,18,0.058823533
org/jfree/data/json/impl/,JSONValue.java,156,159,1.0192307,38,0.026821861
org/jfree/chart/entity/,EntityCollection.java,13,82,6.3076925,6,1.051282
org/jfree/chart/annotations/,XYTitleAnnotation.java,27,359,13.296296,30,0.44320986
org/jfree/chart/internal/,Args.java,34,80,2.3529413,16,0.14705883
org/jfree/chart/annotations/,XYAnnotationBoundsInfo.java,7,57,8.142858,4,2.0357144
org/jfree/chart/urls/,PieURLGenerator.java,5,59,11.8,7,1.6857144
org/jfree/chart/annotations/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/urls/,CustomCategoryURLGenerator.java,8,182,22.75,19,1.1973684
org/jfree/chart/legend/,LegendItemCollection.java,9,144,16.0,8,2.0
org/jfree/chart/util/,DefaultShadowGenerator.java,10,311,31.1,15,2.0733333
org/jfree/chart/axis/,DateTickUnitType.java,3,81,27.0,4,6.75
org/jfree/chart/axis/,NumberTickUnit.java,5,143,28.6,8,3.575
org/jfree/chart/axis/,MonthDateFormat.java,15,228,15.2,17,0.89411765
org/jfree/chart/plot/,Zoomable.java,18,133,7.388889,16,0.46180555
org/jfree/chart/annotations/,XYImageAnnotation.java,22,270,12.272727,21,0.58441556
org/jfree/chart/urls/,XYZURLGenerator.java,5,56,11.2,5,2.24
org/jfree/chart/entity/,PlotEntity.java,11,191,17.363636,14,1.2402598
org/jfree/chart/entity/,FlowEntity.java,38,66,1.7368422,8,0.21710527
org/jfree/chart/renderer/,AreaRendererEndType.java,6,52,8.666667,4,2.1666667
org/jfree/chart/block/,BlockBorder.java,14,215,15.357142,18,0.85317457
org/jfree/chart/labels/,XYSeriesLabelGenerator.java,5,52,10.4,6,1.7333332
org/jfree/chart/annotations/,XYPolygonAnnotation.java,27,318,11.777778,25,0.47111112
org/jfree/chart/labels/,CategoryItemLabelGenerator.java,7,70,10.0,7,1.4285715
org/jfree/chart/annotations/,AbstractXYAnnotation.java,12,185,15.416667,14,1.1011904
org/jfree/chart/api/,RectangleInsets.java,5,515,103.0,31,3.3225806
org/jfree/chart/text/,TextLine.java,10,229,22.9,12,1.9083333
org/jfree/chart/plot/,CategoryPlot.java,73,4825,66.095894,435,0.15194458
org/jfree/chart/swing/,ChartMouseListener.java,7,52,7.428571,7,1.0612245
org/jfree/chart/entity/,CategoryItemEntity.java,8,181,22.625,11,2.0568182
org/jfree/chart/renderer/,RendererState.java,5,105,21.0,8,2.625
org/jfree/chart/entity/,XYAnnotationEntity.java,4,103,25.75,8,3.21875
