chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classes_BC
~ root ~,KeyedObject.java,6,143,23.833334,12,1.9861112
~ root ~,DefaultKeyedValues.java,13,435,33.46154,37,0.90436596
~ root ~,ChartFactory.java,87,1955,22.471264,148,0.15183286
org/jfree/chart/,JFreeChartEntity.java,11,191,17.363636,14,1.2402598
org/jfree/chart/,CategoryLineAnnotation.java,29,390,13.448276,18,0.7471264
org/jfree/chart/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/,XYURLGenerator.java,5,61,12.2,5,2.44
org/jfree/chart/,Annotation.java,7,50,7.142857,7,1.0204082
org/jfree/chart/,CategoryURLGenerator.java,6,67,11.166667,5,2.2333333
org/jfree/chart/,LegendRenderingOrder.java,2,45,22.5,4,5.625
org/jfree/chart/,GradientPaintTransformType.java,2,42,21.0,4,5.25
org/jfree/chart/,ModuloAxis.java,215,187,0.8697674,44,0.01976744
org/jfree/chart/,DateTickMarkPosition.java,2,54,27.0,4,6.75
org/jfree/chart/,TickType.java,2,44,22.0,4,5.5
org/jfree/chart/,MeterInterval.java,15,199,13.266666,14,0.947619
org/jfree/chart/,TextAnnotation.java,16,329,20.5625,16,1.2851562
org/jfree/chart/,TimeSeriesURLGenerator.java,9,190,21.11111,13,1.6239316
org/jfree/chart/,AxisEntity.java,11,192,17.454546,14,1.2467533
org/jfree/chart/,NodeEntity.java,23,65,2.826087,4,0.70652175
org/jfree/chart/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/,Block.java,13,88,6.769231,5,1.3538462
org/jfree/chart/,SymbolicXYItemLabelGenerator.java,11,152,13.818182,15,0.92121214
org/jfree/chart/,XYLineAnnotation.java,27,327,12.111111,22,0.55050504
org/jfree/chart/,XYBoxAnnotation.java,24,347,14.458333,23,0.6286232
org/jfree/chart/,RectangleAlignment.java,4,138,34.5,5,6.9
org/jfree/chart/,TextMeasurer.java,4,40,10.0,4,2.5
org/jfree/chart/,XYPlot.java,42,5346,127.28571,516,0.24667774
org/jfree/chart/,PolarChartPanel.java,9,221,24.555555,19,1.2923976
org/jfree/chart/,EntityCollection.java,13,82,6.3076925,6,1.051282
org/jfree/chart/,LookupPaintScale.java,16,358,22.375,38,0.5888158
org/jfree/chart/,BlockBorder.java,14,215,15.357142,18,0.85317457
org/jfree/chart/,CombinedRangeXYPlot.java,25,682,27.28,61,0.4472131
org/jfree/chart/,XYTitleAnnotation.java,27,359,13.296296,30,0.44320986
org/jfree/chart/,BoxAndWhiskerXYToolTipGenerator.java,10,141,14.1,10,1.4100001
org/jfree/chart/,PolarPlot.java,59,1950,33.050846,166,0.19910148
org/jfree/chart/,TickLabelEntity.java,5,54,10.8,4,2.7
org/jfree/chart/,StandardCategorySeriesLabelGenerator.java,9,145,16.11111,9,1.7901235
org/jfree/chart/,HashUtils.java,65,127,1.9538461,8,0.24423076
org/jfree/chart/,LegendItem.java,27,1052,38.962963,39,0.9990503
org/jfree/chart/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/,PaintScaleLegend.java,31,677,21.838709,60,0.36397848
